resource_id,species_id,title,description,habitat,medicinal_use,conservation_status,interesting_fact,image_filename
EDU0101,SP0101,Getting to know Common Sandpiper,"An educational overview of Common Sandpiper (Actitis hypoleucos), covering identification, habitat, and ecological role in the Kopargaon region.",Godavari River,None documented,Least Concern,Common Sandpiper plays an important role in local ecosystem balance.,SP0101_Actitis_hypoleucos.jpg
EDU0102,SP0102,Getting to know Wood Sandpiper,"An educational overview of Wood Sandpiper (Tringa glareola), covering identification, habitat, and ecological role in the Kopargaon region.",Godavari River,None documented,Least Concern,Wood Sandpiper plays an important role in local ecosystem balance.,SP0102_Tringa_glareola.jpg
EDU0103,SP0103,Getting to know Indian Fox,"An educational overview of Indian Fox (Vulpes bengalensis), covering identification, habitat, and ecological role in the Kopargaon region.",Scrubland,None documented,Not Evaluated,Indian Fox is most active during the Year-round period.,SP0103_Vulpes_bengalensis.jpg
EDU0104,SP0104,Getting to know Golden Jackal,"An educational overview of Golden Jackal (Canis aureus), covering identification, habitat, and ecological role in the Kopargaon region.",Roadside Plantation,None documented,Least Concern,Golden Jackal is considered a good indicator of local habitat health.,SP0104_Canis_aureus.jpg
EDU0105,SP0105,Getting to know Jungle Cat,"An educational overview of Jungle Cat (Felis chaus), covering identification, habitat, and ecological role in the Kopargaon region.",Scrubland,None documented,Endangered,Jungle Cat is considered a good indicator of local habitat health.,SP0105_Felis_chaus.jpg
EDU0106,SP0106,Getting to know Indian Leopard,"An educational overview of Indian Leopard (Panthera pardus fusca), covering identification, habitat, and ecological role in the Kopargaon region.",Temple Grove,None documented,Data Deficient,Indian Leopard is most active during the Year-round period.,SP0106_Panthera_pardus_fusca.jpg
EDU0107,SP0107,Getting to know Sloth Bear,"An educational overview of Sloth Bear (Melursus ursinus), covering identification, habitat, and ecological role in the Kopargaon region.",Grassland,None documented,Endangered,Sloth Bear has been recorded by citizen scientists across multiple villages.,SP0107_Melursus_ursinus.jpg
EDU0108,SP0108,Getting to know Wild Boar,"An educational overview of Wild Boar (Sus scrofa), covering identification, habitat, and ecological role in the Kopargaon region.",Agricultural Field,None documented,Least Concern,Wild Boar plays an important role in local ecosystem balance.,SP0108_Sus_scrofa.jpg
EDU0109,SP0109,Getting to know Blackbuck,"An educational overview of Blackbuck (Antilope cervicapra), covering identification, habitat, and ecological role in the Kopargaon region.",Scrubland,None documented,Near Threatened,Blackbuck is most active during the Dec-Feb period.,SP0109_Antilope_cervicapra.jpg
EDU0110,SP0110,Getting to know Chinkara,"An educational overview of Chinkara (Gazella bennettii), covering identification, habitat, and ecological role in the Kopargaon region.",Grassland,None documented,Least Concern,Chinkara is considered a good indicator of local habitat health.,SP0110_Gazella_bennettii.jpg
EDU0111,SP0111,Getting to know Nilgai,"An educational overview of Nilgai (Boselaphus tragocamelus), covering identification, habitat, and ecological role in the Kopargaon region.",Temple Grove,None documented,Least Concern,Nilgai plays an important role in local ecosystem balance.,SP0111_Boselaphus_tragocamelus.jpg
EDU0112,SP0112,Getting to know Indian Hare,"An educational overview of Indian Hare (Lepus nigricollis), covering identification, habitat, and ecological role in the Kopargaon region.",Roadside Plantation,None documented,Least Concern,Indian Hare is considered a good indicator of local habitat health.,SP0112_Lepus_nigricollis.jpg
EDU0113,SP0113,Getting to know Small Indian Civet,"An educational overview of Small Indian Civet (Viverricula indica), covering identification, habitat, and ecological role in the Kopargaon region.",Roadside Plantation,None documented,Least Concern,Small Indian Civet is considered a good indicator of local habitat health.,SP0113_Viverricula_indica.jpg
EDU0114,SP0114,Getting to know Common Palm Civet,"An educational overview of Common Palm Civet (Paradoxurus hermaphroditus), covering identification, habitat, and ecological role in the Kopargaon region.",Agricultural Field,None documented,Data Deficient,Common Palm Civet has been recorded by citizen scientists across multiple villages.,SP0114_Paradoxurus_hermaphroditus.jpg
EDU0115,SP0115,Getting to know Indian Grey Mongoose,"An educational overview of Indian Grey Mongoose (Herpestes edwardsii), covering identification, habitat, and ecological role in the Kopargaon region.",Grassland,None documented,Least Concern,Indian Grey Mongoose has been recorded by citizen scientists across multiple villages.,SP0115_Herpestes_edwardsii.jpg
EDU0116,SP0116,Getting to know Ruddy Mongoose,"An educational overview of Ruddy Mongoose (Herpestes smithii), covering identification, habitat, and ecological role in the Kopargaon region.",Roadside Plantation,None documented,Least Concern,Ruddy Mongoose is most active during the Jun-Sep period.,SP0116_Herpestes_smithii.jpg
EDU0117,SP0117,Getting to know Indian Flying Fox,"An educational overview of Indian Flying Fox (Pteropus giganteus), covering identification, habitat, and ecological role in the Kopargaon region.",Roadside Plantation,None documented,Least Concern,Indian Flying Fox is considered a good indicator of local habitat health.,SP0117_Pteropus_giganteus.jpg
EDU0118,SP0118,Getting to know Indian Pangolin,"An educational overview of Indian Pangolin (Manis crassicaudata), covering identification, habitat, and ecological role in the Kopargaon region.",Temple Grove,None documented,Near Threatened,Indian Pangolin has been recorded by citizen scientists across multiple villages.,SP0118_Manis_crassicaudata.jpg
EDU0119,SP0119,Getting to know Rhesus Macaque,"An educational overview of Rhesus Macaque (Macaca mulatta), covering identification, habitat, and ecological role in the Kopargaon region.",Roadside Plantation,None documented,Data Deficient,Rhesus Macaque plays an important role in local ecosystem balance.,SP0119_Macaca_mulatta.jpg
EDU0120,SP0120,Getting to know Hanuman Langur,"An educational overview of Hanuman Langur (Semnopithecus entellus), covering identification, habitat, and ecological role in the Kopargaon region.",Agricultural Field,None documented,Least Concern,Hanuman Langur plays an important role in local ecosystem balance.,SP0120_Semnopithecus_entellus.jpg
EDU0121,SP0121,Getting to know Striped Hyena,"An educational overview of Striped Hyena (Hyaena hyaena), covering identification, habitat, and ecological role in the Kopargaon region.",Grassland,None documented,Not Evaluated,Striped Hyena is considered a good indicator of local habitat health.,SP0121_Hyaena_hyaena.jpg
EDU0122,SP0122,Getting to know Indian Crested Porcupine,"An educational overview of Indian Crested Porcupine (Hystrix indica), covering identification, habitat, and ecological role in the Kopargaon region.",Roadside Plantation,None documented,Endangered,Indian Crested Porcupine is considered a good indicator of local habitat health.,SP0122_Hystrix_indica.jpg
EDU0123,SP0123,Getting to know Five-striped Palm Squirrel,"An educational overview of Five-striped Palm Squirrel (Funambulus pennantii), covering identification, habitat, and ecological role in the Kopargaon region.",Agricultural Field,None documented,Data Deficient,Five-striped Palm Squirrel is considered a good indicator of local habitat health.,SP0123_Funambulus_pennantii.jpg
EDU0124,SP0124,Getting to know Three-striped Palm Squirrel,"An educational overview of Three-striped Palm Squirrel (Funambulus palmarum), covering identification, habitat, and ecological role in the Kopargaon region.",Agricultural Field,None documented,Near Threatened,Three-striped Palm Squirrel is considered a good indicator of local habitat health.,SP0124_Funambulus_palmarum.jpg
EDU0125,SP0125,Getting to know Indian Gerbil,"An educational overview of Indian Gerbil (Tatera indica), covering identification, habitat, and ecological role in the Kopargaon region.",Temple Grove,None documented,Endangered,Indian Gerbil has been recorded by citizen scientists across multiple villages.,SP0125_Tatera_indica.jpg
EDU0126,SP0126,Getting to know Lesser Bandicoot Rat,"An educational overview of Lesser Bandicoot Rat (Bandicota bengalensis), covering identification, habitat, and ecological role in the Kopargaon region.",Roadside Plantation,None documented,Near Threatened,Lesser Bandicoot Rat is considered a good indicator of local habitat health.,SP0126_Bandicota_bengalensis.jpg
EDU0127,SP0127,Getting to know Indian Grey Wolf,"An educational overview of Indian Grey Wolf (Canis lupus pallipes), covering identification, habitat, and ecological role in the Kopargaon region.",Scrubland,None documented,Least Concern,Indian Grey Wolf is most active during the Dec-Feb period.,SP0127_Canis_lupus_pallipes.jpg
EDU0128,SP0128,Getting to know Smooth-coated Otter,"An educational overview of Smooth-coated Otter (Lutrogale perspicillata), covering identification, habitat, and ecological role in the Kopargaon region.",Roadside Plantation,None documented,Not Evaluated,Smooth-coated Otter is considered a good indicator of local habitat health.,SP0128_Lutrogale_perspicillata.jpg
EDU0129,SP0129,Getting to know Rusty-spotted Cat,"An educational overview of Rusty-spotted Cat (Prionailurus rubiginosus), covering identification, habitat, and ecological role in the Kopargaon region.",Temple Grove,None documented,Least Concern,Rusty-spotted Cat has been recorded by citizen scientists across multiple villages.,SP0129_Prionailurus_rubiginosus.jpg
EDU0130,SP0130,Getting to know Short-nosed Fruit Bat,"An educational overview of Short-nosed Fruit Bat (Cynopterus sphinx), covering identification, habitat, and ecological role in the Kopargaon region.",Roadside Plantation,None documented,Not Evaluated,Short-nosed Fruit Bat has been recorded by citizen scientists across multiple villages.,SP0130_Cynopterus_sphinx.jpg
EDU0131,SP0131,Getting to know Indian Pipistrelle,"An educational overview of Indian Pipistrelle (Pipistrellus coromandra), covering identification, habitat, and ecological role in the Kopargaon region.",Temple Grove,None documented,Least Concern,Indian Pipistrelle has been recorded by citizen scientists across multiple villages.,SP0131_Pipistrellus_coromandra.jpg
EDU0132,SP0132,Getting to know Chital,"An educational overview of Chital (Axis axis), covering identification, habitat, and ecological role in the Kopargaon region.",Scrubland,None documented,Least Concern,Chital is considered a good indicator of local habitat health.,SP0132_Axis_axis.jpg
EDU0133,SP0133,Getting to know Sambar,"An educational overview of Sambar (Rusa unicolor), covering identification, habitat, and ecological role in the Kopargaon region.",Temple Grove,None documented,Not Evaluated,Sambar has been recorded by citizen scientists across multiple villages.,SP0133_Rusa_unicolor.jpg
EDU0134,SP0134,Getting to know Four-horned Antelope,"An educational overview of Four-horned Antelope (Tetracerus quadricornis), covering identification, habitat, and ecological role in the Kopargaon region.",Roadside Plantation,None documented,Data Deficient,Four-horned Antelope plays an important role in local ecosystem balance.,SP0134_Tetracerus_quadricornis.jpg
EDU0135,SP0135,Getting to know Indian Wild Dog (Dhole),"An educational overview of Indian Wild Dog (Dhole) (Cuon alpinus), covering identification, habitat, and ecological role in the Kopargaon region.",Scrubland,None documented,Endangered,Indian Wild Dog (Dhole) has been recorded by citizen scientists across multiple villages.,SP0135_Cuon_alpinus.jpg
EDU0136,SP0136,Getting to know Common Shrew,"An educational overview of Common Shrew (Suncus murinus), covering identification, habitat, and ecological role in the Kopargaon region.",Scrubland,None documented,Near Threatened,Common Shrew is most active during the Dec-Feb period.,SP0136_Suncus_murinus.jpg
EDU0137,SP0137,Getting to know Indian Hedgehog,"An educational overview of Indian Hedgehog (Paraechinus micropus), covering identification, habitat, and ecological role in the Kopargaon region.",Roadside Plantation,None documented,Data Deficient,Indian Hedgehog has been recorded by citizen scientists across multiple villages.,SP0137_Paraechinus_micropus.jpg
EDU0138,SP0138,Getting to know Sand-coloured Soft-furred Rat,"An educational overview of Sand-coloured Soft-furred Rat (Millardia gleadowi), covering identification, habitat, and ecological role in the Kopargaon region.",Temple Grove,None documented,Near Threatened,Sand-coloured Soft-furred Rat is considered a good indicator of local habitat health.,SP0138_Millardia_gleadowi.jpg
EDU0139,SP0139,Getting to know Barking Deer,"An educational overview of Barking Deer (Muntiacus vaginalis), covering identification, habitat, and ecological role in the Kopargaon region.",Temple Grove,None documented,Least Concern,Barking Deer plays an important role in local ecosystem balance.,SP0139_Muntiacus_vaginalis.jpg
EDU0140,SP0140,Getting to know Indian Cobra,"An educational overview of Indian Cobra (Naja naja), covering identification, habitat, and ecological role in the Kopargaon region.",Canal,None documented,Vulnerable,Indian Cobra has been recorded by citizen scientists across multiple villages.,SP0140_Naja_naja.jpg
EDU0141,SP0141,Getting to know Russell's Viper,"An educational overview of Russell's Viper (Daboia russelii), covering identification, habitat, and ecological role in the Kopargaon region.",Roadside Plantation,None documented,Near Threatened,Russell's Viper has been recorded by citizen scientists across multiple villages.,SP0141_Daboia_russelii.jpg
EDU0142,SP0142,Getting to know Common Krait,"An educational overview of Common Krait (Bungarus caeruleus), covering identification, habitat, and ecological role in the Kopargaon region.",Rocky Outcrop,None documented,Endangered,Common Krait is considered a good indicator of local habitat health.,SP0142_Bungarus_caeruleus.jpg
EDU0143,SP0143,Getting to know Saw-scaled Viper,"An educational overview of Saw-scaled Viper (Echis carinatus), covering identification, habitat, and ecological role in the Kopargaon region.",Canal,None documented,Not Evaluated,Saw-scaled Viper plays an important role in local ecosystem balance.,SP0143_Echis_carinatus.jpg
EDU0144,SP0144,Getting to know Indian Rat Snake,"An educational overview of Indian Rat Snake (Ptyas mucosa), covering identification, habitat, and ecological role in the Kopargaon region.",Roadside Plantation,None documented,Least Concern,Indian Rat Snake plays an important role in local ecosystem balance.,SP0144_Ptyas_mucosa.jpg
EDU0145,SP0145,Getting to know Common Wolf Snake,"An educational overview of Common Wolf Snake (Lycodon aulicus), covering identification, habitat, and ecological role in the Kopargaon region.",Canal,None documented,Data Deficient,Common Wolf Snake plays an important role in local ecosystem balance.,SP0145_Lycodon_aulicus.jpg
EDU0146,SP0146,Getting to know Checkered Keelback,"An educational overview of Checkered Keelback (Fowlea piscator), covering identification, habitat, and ecological role in the Kopargaon region.",Canal,None documented,Data Deficient,Checkered Keelback is most active during the Jun-Sep period.,SP0146_Fowlea_piscator.jpg
EDU0147,SP0147,Getting to know Indian Rock Python,"An educational overview of Indian Rock Python (Python molurus), covering identification, habitat, and ecological role in the Kopargaon region.",Rocky Outcrop,None documented,Least Concern,Indian Rock Python is most active during the Year-round period.,SP0147_Python_molurus.jpg
EDU0148,SP0148,Getting to know Common Vine Snake,"An educational overview of Common Vine Snake (Ahaetulla nasuta), covering identification, habitat, and ecological role in the Kopargaon region.",Grassland,None documented,Least Concern,Common Vine Snake has been recorded by citizen scientists across multiple villages.,SP0148_Ahaetulla_nasuta.jpg
EDU0149,SP0149,Getting to know Common Trinket Snake,"An educational overview of Common Trinket Snake (Coelognathus helena), covering identification, habitat, and ecological role in the Kopargaon region.",Roadside Plantation,None documented,Least Concern,Common Trinket Snake plays an important role in local ecosystem balance.,SP0149_Coelognathus_helena.jpg
EDU0150,SP0150,Getting to know Indian Star Tortoise,"An educational overview of Indian Star Tortoise (Geochelone elegans), covering identification, habitat, and ecological role in the Kopargaon region.",Canal,None documented,Not Evaluated,Indian Star Tortoise is considered a good indicator of local habitat health.,SP0150_Geochelone_elegans.jpg
EDU0151,SP0151,Getting to know Indian Flapshell Turtle,"An educational overview of Indian Flapshell Turtle (Lissemys punctata), covering identification, habitat, and ecological role in the Kopargaon region.",Grassland,None documented,Least Concern,Indian Flapshell Turtle is most active during the Sep-Dec period.,SP0151_Lissemys_punctata.jpg
EDU0152,SP0152,Getting to know Indian Roofed Turtle,"An educational overview of Indian Roofed Turtle (Pangshura tecta), covering identification, habitat, and ecological role in the Kopargaon region.",Rocky Outcrop,None documented,Least Concern,Indian Roofed Turtle has been recorded by citizen scientists across multiple villages.,SP0152_Pangshura_tecta.jpg
EDU0153,SP0153,Getting to know Mugger Crocodile,"An educational overview of Mugger Crocodile (Crocodylus palustris), covering identification, habitat, and ecological role in the Kopargaon region.",Agricultural Field,None documented,Near Threatened,Mugger Crocodile is considered a good indicator of local habitat health.,SP0153_Crocodylus_palustris.jpg
EDU0154,SP0154,Getting to know Bengal Monitor,"An educational overview of Bengal Monitor (Varanus bengalensis), covering identification, habitat, and ecological role in the Kopargaon region.",Canal,None documented,Not Evaluated,Bengal Monitor has been recorded by citizen scientists across multiple villages.,SP0154_Varanus_bengalensis.jpg
EDU0155,SP0155,Getting to know Indian Garden Lizard,"An educational overview of Indian Garden Lizard (Calotes versicolor), covering identification, habitat, and ecological role in the Kopargaon region.",Canal,None documented,Vulnerable,Indian Garden Lizard has been recorded by citizen scientists across multiple villages.,SP0155_Calotes_versicolor.jpg
EDU0156,SP0156,Getting to know Fan-throated Lizard,"An educational overview of Fan-throated Lizard (Sitana ponticeriana), covering identification, habitat, and ecological role in the Kopargaon region.",Agricultural Field,None documented,Data Deficient,Fan-throated Lizard has been recorded by citizen scientists across multiple villages.,SP0156_Sitana_ponticeriana.jpg
EDU0157,SP0157,Getting to know Common House Gecko,"An educational overview of Common House Gecko (Hemidactylus frenatus), covering identification, habitat, and ecological role in the Kopargaon region.",Agricultural Field,None documented,Least Concern,Common House Gecko plays an important role in local ecosystem balance.,SP0157_Hemidactylus_frenatus.jpg
EDU0158,SP0158,Getting to know Termite Hill Gecko,"An educational overview of Termite Hill Gecko (Hemidactylus triedrus), covering identification, habitat, and ecological role in the Kopargaon region.",Grassland,None documented,Endangered,Termite Hill Gecko is most active during the Dec-Feb period.,SP0158_Hemidactylus_triedrus.jpg
EDU0159,SP0159,Getting to know Indian Chameleon,"An educational overview of Indian Chameleon (Chamaeleo zeylanicus), covering identification, habitat, and ecological role in the Kopargaon region.",Roadside Plantation,None documented,Not Evaluated,Indian Chameleon is most active during the Year-round period.,SP0159_Chamaeleo_zeylanicus.jpg
EDU0160,SP0160,Getting to know Common Skink,"An educational overview of Common Skink (Eutropis carinata), covering identification, habitat, and ecological role in the Kopargaon region.",Grassland,None documented,Near Threatened,Common Skink has been recorded by citizen scientists across multiple villages.,SP0160_Eutropis_carinata.jpg
EDU0161,SP0161,Getting to know Bronze Grass Skink,"An educational overview of Bronze Grass Skink (Eutropis macularia), covering identification, habitat, and ecological role in the Kopargaon region.",Agricultural Field,None documented,Not Evaluated,Bronze Grass Skink has been recorded by citizen scientists across multiple villages.,SP0161_Eutropis_macularia.jpg
EDU0162,SP0162,Getting to know Red Sand Boa,"An educational overview of Red Sand Boa (Eryx johnii), covering identification, habitat, and ecological role in the Kopargaon region.",Rocky Outcrop,None documented,Not Evaluated,Red Sand Boa plays an important role in local ecosystem balance.,SP0162_Eryx_johnii.jpg
EDU0163,SP0163,Getting to know Common Sand Boa,"An educational overview of Common Sand Boa (Eryx conicus), covering identification, habitat, and ecological role in the Kopargaon region.",Grassland,None documented,Least Concern,Common Sand Boa is considered a good indicator of local habitat health.,SP0163_Eryx_conicus.jpg
EDU0164,SP0164,Getting to know Common Bronzeback Tree Snake,"An educational overview of Common Bronzeback Tree Snake (Dendrelaphis tristis), covering identification, habitat, and ecological role in the Kopargaon region.",Roadside Plantation,None documented,Not Evaluated,Common Bronzeback Tree Snake is considered a good indicator of local habitat health.,SP0164_Dendrelaphis_tristis.jpg
EDU0165,SP0165,Getting to know Indian Cat Snake,"An educational overview of Indian Cat Snake (Boiga trigonata), covering identification, habitat, and ecological role in the Kopargaon region.",Canal,None documented,Least Concern,Indian Cat Snake has been recorded by citizen scientists across multiple villages.,SP0165_Boiga_trigonata.jpg
EDU0166,SP0166,Getting to know Barred Wolf Snake,"An educational overview of Barred Wolf Snake (Lycodon striatus), covering identification, habitat, and ecological role in the Kopargaon region.",Rocky Outcrop,None documented,Least Concern,Barred Wolf Snake is most active during the Dec-Feb period.,SP0166_Lycodon_striatus.jpg
EDU0167,SP0167,Getting to know Buff Striped Keelback,"An educational overview of Buff Striped Keelback (Amphiesma stolatum), covering identification, habitat, and ecological role in the Kopargaon region.",Agricultural Field,None documented,Endangered,Buff Striped Keelback is most active during the Jun-Sep period.,SP0167_Amphiesma_stolatum.jpg
EDU0168,SP0168,Getting to know Olive Keelback,"An educational overview of Olive Keelback (Atretium schistosum), covering identification, habitat, and ecological role in the Kopargaon region.",Agricultural Field,None documented,Near Threatened,Olive Keelback is considered a good indicator of local habitat health.,SP0168_Atretium_schistosum.jpg
EDU0169,SP0169,Getting to know Dog-faced Water Snake,"An educational overview of Dog-faced Water Snake (Cerberus rynchops), covering identification, habitat, and ecological role in the Kopargaon region.",Canal,None documented,Least Concern,Dog-faced Water Snake is most active during the Year-round period.,SP0169_Cerberus_rynchops.jpg
EDU0170,SP0170,Getting to know Painted Bronzeback,"An educational overview of Painted Bronzeback (Dendrelaphis pictus), covering identification, habitat, and ecological role in the Kopargaon region.",Rocky Outcrop,None documented,Endangered,Painted Bronzeback is considered a good indicator of local habitat health.,SP0170_Dendrelaphis_pictus.jpg
EDU0171,SP0171,Getting to know Rock Agama,"An educational overview of Rock Agama (Psammophilus dorsalis), covering identification, habitat, and ecological role in the Kopargaon region.",Roadside Plantation,None documented,Data Deficient,Rock Agama is most active during the Mar-Jun period.,SP0171_Psammophilus_dorsalis.jpg
EDU0172,SP0172,Getting to know South Indian Rock Agama,"An educational overview of South Indian Rock Agama (Psammophilus blanfordanus), covering identification, habitat, and ecological role in the Kopargaon region.",Grassland,None documented,Least Concern,South Indian Rock Agama is considered a good indicator of local habitat health.,SP0172_Psammophilus_blanfordanus.jpg
EDU0173,SP0173,Getting to know Indian Softshell Turtle,"An educational overview of Indian Softshell Turtle (Nilssonia gangetica), covering identification, habitat, and ecological role in the Kopargaon region.",Agricultural Field,None documented,Near Threatened,Indian Softshell Turtle is considered a good indicator of local habitat health.,SP0173_Nilssonia_gangetica.jpg
EDU0174,SP0174,Getting to know Common Trinket (Blotched),"An educational overview of Common Trinket (Blotched) (Coelognathus helena monticollaris), covering identification, habitat, and ecological role in the Kopargaon region.",Rocky Outcrop,None documented,Least Concern,Common Trinket (Blotched) is considered a good indicator of local habitat health.,SP0174_Coelognathus_helena_monticollaris.jpg
EDU0175,SP0175,Getting to know Indian Bullfrog,"An educational overview of Indian Bullfrog (Hoplobatrachus tigerinus), covering identification, habitat, and ecological role in the Kopargaon region.",Agricultural Field,None documented,Not Evaluated,Indian Bullfrog plays an important role in local ecosystem balance.,SP0175_Hoplobatrachus_tigerinus.jpg
EDU0176,SP0176,Getting to know Common Indian Toad,"An educational overview of Common Indian Toad (Duttaphrynus melanostictus), covering identification, habitat, and ecological role in the Kopargaon region.",Pond,None documented,Vulnerable,Common Indian Toad has been recorded by citizen scientists across multiple villages.,SP0176_Duttaphrynus_melanostictus.jpg
EDU0177,SP0177,Getting to know Indian Skipper Frog,"An educational overview of Indian Skipper Frog (Euphlyctis cyanophlyctis), covering identification, habitat, and ecological role in the Kopargaon region.",Wetland,None documented,Least Concern,Indian Skipper Frog is most active during the Mar-Jun period.,SP0177_Euphlyctis_cyanophlyctis.jpg
EDU0178,SP0178,Getting to know Bronze Frog,"An educational overview of Bronze Frog (Hylarana temporalis), covering identification, habitat, and ecological role in the Kopargaon region.",Canal,None documented,Least Concern,Bronze Frog plays an important role in local ecosystem balance.,SP0178_Hylarana_temporalis.jpg
EDU0179,SP0179,Getting to know Indian Tree Frog,"An educational overview of Indian Tree Frog (Polypedates maculatus), covering identification, habitat, and ecological role in the Kopargaon region.",Pond,None documented,Not Evaluated,Indian Tree Frog is most active during the Year-round period.,SP0179_Polypedates_maculatus.jpg
EDU0180,SP0180,Getting to know Ornate Narrow-mouthed Frog,"An educational overview of Ornate Narrow-mouthed Frog (Microhyla ornata), covering identification, habitat, and ecological role in the Kopargaon region.",Pond,None documented,Data Deficient,Ornate Narrow-mouthed Frog is most active during the Sep-Dec period.,SP0180_Microhyla_ornata.jpg
EDU0181,SP0181,Getting to know Marbled Balloon Frog,"An educational overview of Marbled Balloon Frog (Uperodon systoma), covering identification, habitat, and ecological role in the Kopargaon region.",Canal,None documented,Least Concern,Marbled Balloon Frog is most active during the Year-round period.,SP0181_Uperodon_systoma.jpg
EDU0182,SP0182,Getting to know Indian Cricket Frog,"An educational overview of Indian Cricket Frog (Fejervarya limnocharis), covering identification, habitat, and ecological role in the Kopargaon region.",Pond,None documented,Least Concern,Indian Cricket Frog has been recorded by citizen scientists across multiple villages.,SP0182_Fejervarya_limnocharis.jpg
EDU0183,SP0183,Getting to know Fungoid Frog,"An educational overview of Fungoid Frog (Hydrophylax leptoglossa), covering identification, habitat, and ecological role in the Kopargaon region.",Pond,None documented,Least Concern,Fungoid Frog has been recorded by citizen scientists across multiple villages.,SP0183_Hydrophylax_leptoglossa.jpg
EDU0184,SP0184,Getting to know Marbled Toad,"An educational overview of Marbled Toad (Duttaphrynus stomaticus), covering identification, habitat, and ecological role in the Kopargaon region.",Wetland,None documented,Vulnerable,Marbled Toad has been recorded by citizen scientists across multiple villages.,SP0184_Duttaphrynus_stomaticus.jpg
EDU0185,SP0185,Getting to know Terai Cricket Frog,"An educational overview of Terai Cricket Frog (Fejervarya syhadrensis), covering identification, habitat, and ecological role in the Kopargaon region.",Agricultural Field,None documented,Least Concern,Terai Cricket Frog is considered a good indicator of local habitat health.,SP0185_Fejervarya_syhadrensis.jpg
EDU0186,SP0186,Getting to know Bombay Bush Frog,"An educational overview of Bombay Bush Frog (Raorchestes bombayensis), covering identification, habitat, and ecological role in the Kopargaon region.",Pond,None documented,Least Concern,Bombay Bush Frog plays an important role in local ecosystem balance.,SP0186_Raorchestes_bombayensis.jpg
EDU0187,SP0187,Getting to know Deccan Toad,"An educational overview of Deccan Toad (Duttaphrynus hololius), covering identification, habitat, and ecological role in the Kopargaon region.",Wetland,None documented,Least Concern,Deccan Toad has been recorded by citizen scientists across multiple villages.,SP0187_Duttaphrynus_hololius.jpg
EDU0188,SP0188,Getting to know Indian Burrowing Frog,"An educational overview of Indian Burrowing Frog (Sphaerotheca breviceps), covering identification, habitat, and ecological role in the Kopargaon region.",Canal,None documented,Least Concern,Indian Burrowing Frog is most active during the Dec-Feb period.,SP0188_Sphaerotheca_breviceps.jpg
EDU0189,SP0189,Getting to know Ramanella Frog,"An educational overview of Ramanella Frog (Uperodon variegatus), covering identification, habitat, and ecological role in the Kopargaon region.",Godavari River,None documented,Least Concern,Ramanella Frog plays an important role in local ecosystem balance.,SP0189_Uperodon_variegatus.jpg
EDU0190,SP0190,Getting to know Painted Frog,"An educational overview of Painted Frog (Kaloula taprobanica), covering identification, habitat, and ecological role in the Kopargaon region.",Agricultural Field,None documented,Data Deficient,Painted Frog plays an important role in local ecosystem balance.,SP0190_Kaloula_taprobanica.jpg
EDU0191,SP0191,Getting to know Common Mormon,"An educational overview of Common Mormon (Papilio polytes), covering identification, habitat, and ecological role in the Kopargaon region.",Grassland,None documented,Near Threatened,Common Mormon is considered a good indicator of local habitat health.,SP0191_Papilio_polytes.jpg
EDU0192,SP0192,Getting to know Common Rose,"An educational overview of Common Rose (Pachliopta aristolochiae), covering identification, habitat, and ecological role in the Kopargaon region.",Temple Grove,None documented,Least Concern,Common Rose plays an important role in local ecosystem balance.,SP0192_Pachliopta_aristolochiae.jpg
EDU0193,SP0193,Getting to know Crimson Rose,"An educational overview of Crimson Rose (Pachliopta hector), covering identification, habitat, and ecological role in the Kopargaon region.",Grassland,None documented,Least Concern,Crimson Rose is most active during the Mar-Jun period.,SP0193_Pachliopta_hector.jpg
EDU0194,SP0194,Getting to know Blue Mormon,"An educational overview of Blue Mormon (Papilio polymnestor), covering identification, habitat, and ecological role in the Kopargaon region.",Urban Garden,None documented,Least Concern,Blue Mormon has been recorded by citizen scientists across multiple villages.,SP0194_Papilio_polymnestor.jpg
EDU0195,SP0195,Getting to know Lime Butterfly,"An educational overview of Lime Butterfly (Papilio demoleus), covering identification, habitat, and ecological role in the Kopargaon region.",Roadside Plantation,None documented,Least Concern,Lime Butterfly is most active during the Jun-Sep period.,SP0195_Papilio_demoleus.jpg
EDU0196,SP0196,Getting to know Common Jezebel,"An educational overview of Common Jezebel (Delias eucharis), covering identification, habitat, and ecological role in the Kopargaon region.",Roadside Plantation,None documented,Not Evaluated,Common Jezebel plays an important role in local ecosystem balance.,SP0196_Delias_eucharis.jpg
EDU0197,SP0197,Getting to know Plain Tiger,"An educational overview of Plain Tiger (Danaus chrysippus), covering identification, habitat, and ecological role in the Kopargaon region.",Temple Grove,None documented,Near Threatened,Plain Tiger has been recorded by citizen scientists across multiple villages.,SP0197_Danaus_chrysippus.jpg
EDU0198,SP0198,Getting to know Striped Tiger,"An educational overview of Striped Tiger (Danaus genutia), covering identification, habitat, and ecological role in the Kopargaon region.",Grassland,None documented,Endangered,Striped Tiger plays an important role in local ecosystem balance.,SP0198_Danaus_genutia.jpg
EDU0199,SP0199,Getting to know Danaid Eggfly,"An educational overview of Danaid Eggfly (Hypolimnas misippus), covering identification, habitat, and ecological role in the Kopargaon region.",Temple Grove,None documented,Least Concern,Danaid Eggfly has been recorded by citizen scientists across multiple villages.,SP0199_Hypolimnas_misippus.jpg
